id	category	utterance	plan
createWithUnknownAttendee1	p0	Create a meeting with David and Jane	"createEvent(with_(""David"") and with_(""Jane""))"
	p0	Create an event with my manager	createEvent(with_(me.manager))
Create with salient datetime	p0	Create a meeting with David then.	"createEvent(createAt(that[Instant]) and with_(""David""))"
findEmails-0	p0	Find my emails	findEmails0
findEmails-0-eyesoff	p0	Find my emails.	findEmails0
findEmail-0	p0	Find my email	theEmail0
findEmail-2	p0	Find emails from Lisa	"findEmails(messageWithSender(""Lisa""))"
findEmail- From Person with Attachments	p0	Find emails from Lisa with attachments	"findEmails(messageWithSender(""Lisa"") and messageHasAttachments(true))"
findEmail- From Person from Date Interval with Attachments	p0	Find emails from Lisa last week with attachments	"findEmails(messageWithSender(""Lisa"") and messageSentAt(last[Interval[Date]] and isWeek) and messageHasAttachments(true))"
goToSearchFirstTurn	p0	Go to search.	goToSearch()
findGeneral-1	p0	What is semantic machines?	"findGeneral(withQueryString(""semantic machines""))"
findGeneral-2	p0	What is outlook mobile	"findGeneral(withQueryString(""outlook mobile""))"
findGeneral-3	p0	Search for the best philosophy books	"findGeneral(withQueryString(""the best philosophy books""))"
playMyEmails	p0	Play my emails.	playEmails0
playThisEmail	p0	Play this email.	playEmail(messageConversationIdIs(theEmail(`this`[Email]).conversationId))
eventCountByDate	p0	How many events do I have today?	findEvents(queryAt(today)).size
eventBeforeDayOfWeek	p0	What do I have before Monday?	findEvents(queryAt(before(theDate(Monday))))
allDayEventInWeek	p0	What all day events do I have this week?	findEvents(isAllDay and queryAt(`this`[Interval[Date]] and isWeek))
nthEventOnDay	p0	What is my third event on Monday?	theEvent(nth[Event](3) and queryAt(Monday))
secondEventTomorrow	p0	What is my second event tomorrow?	theEvent(nth[Event](2) and queryAt(tomorrow))
queryTonightMilitary	p0	What do I have tonight at 2100?	findEvents(queryAt(hour24(21) :: 0 on tonight))
query week of numeric date	p0	What do I have in the week of 8/9?	findEvents(queryAt(theDate(month(8) /& 9).weekInterval))
query first half of week	p0	What do I have in the first half of next week?	findEvents(queryAt(firstHalf(the(next[Interval[Date]] and isWeek))))
query x weeks from date	p0	What do I have two weeks from today?	findEvents(queryAt(today + 2.weeks))
query events in x weeks	p0	What do I have in two weeks?	findEvents(queryAt(theDate((today + 2.weeks)).weekInterval))
queryNoEventAfterTime	p0	What's on my schedule after 6 pm.	findEvents(queryAt(after(6.pm)))
queryMultiEventsAfterTimeTomorrow	p0	What's on my schedule after 6 pm tomorrow.	findEvents(queryAt(after(6.pm) on tomorrow))
queryNoEventBeforeTime	p0	What's on my schedule before 9 pm.	findEvents(queryAt(before(9.pm)))
queryEventAfterDate	p0	What's on my schedule after July 10th.	findEvents(queryAt(after(July /& 10)))
queryEventBeforeDate	p0	What's on my schedule before October 5th.	findEvents(queryAt(before(October /& 5)))
queryEventAfterTimeOnDate	p0	What's on my schedule after 9 am on August 2.	findEvents(queryAt(after(9.am) on August /& 2))
queryEventBeforeTimeOnDate	p0	What's on my schedule before 2 pm on September 9.	findEvents(queryAt(before(2.pm) on September /& 9))
queryEventBeforeThisDOW	p0	What do I have before this Saturday?	findEvents(queryAt(before(theDate(`this`[Date] /& Saturday))))
queryEventBeforeNthDOW	p0	What do I have before the first Monday of next October?	findEvents(queryAt(before(theDate(nth[Date](1) /& Monday /& (next[Interval[Date]] and monthOf(October))))))
Query on that week	p0	What do I have on October 1st?	findEvents(queryAt(October /& 1))
noEventWithAttendee	p0	What do I have with Kim?	"findEvents(with_(""Kim""))"
noEventWithAttendee2	p0	Search for meetings that include Jennifer.	"findEvents(with_(""Jennifer""))"
noEventWithTwoAttendees	p0	What do I have with Kelly and Abby?	"findEvents(with_(""Kelly"") and with_(""Abby""))"
noEventWithAttendee3	p0	What's on my calendar with Damon?	"findEvents(with_(""Damon""))"
noEventWithAttendee4	p0	What do I have on my schedule with Dan?	"findEvents(with_(""Dan""))"
noEventMultipleAttendees	p0	What's on my schedule that includes Megan, Jennifer, and John?	"findEvents((with_(""Megan"") and with_(""Jennifer"")) and with_(""John""))"
noEventMultipleAttendees2	p0	What appointments do I have with Brad and Kim?	"findEvents(with_(""Brad"") and with_(""Kim""))"
oneEventWithMultipleAttendees	p0	What's on my calendar that includes Kelly, Megan, and Jesse?	"findEvents((with_(""Kelly"") and with_(""Megan"")) and with_(""Jesse""))"
eventWithAttendeeDayQuery	p0	What do I have with Jesse on Sunday?	"findEvents(with_(""Jesse"") and queryAt(Sunday))"
querySimpleCritical	p0	What is my schedule like?	findEvents0
eventWithNoConstraint	p0	What's on the schedule?	findEvents0
eventwithSubjectAndDate	p0	Search for coffee meetings tomorrow.	"findEvents(called(""coffee meetings"") and queryAt(tomorrow))"
eventwithSubjectAndDate2	p0	Do I have a planning meeting today?	"findEvents(called(""planning meeting"") and queryAt(today)).nonEmpty"
eventWithPersonAndDay	p0	What do I have with Kelly on Saturday?	"findEvents(with_(""Kelly"") and queryAt(Saturday))"
eventwithSubjectAndDate3	p0	What's on my calendar on June 5th with subject Peer Review.	"findEvents(queryAt(June /& 5) and called(""Peer Review""))"
eventWithTwoAttendeesToday	p0	Find meetings that include John and Jennifer today.	"findEvents((with_(""John"") and with_(""Jennifer"")) and queryAt(today))"
eventWithDayAndAttendee	p0	What do I have on my schedule on Sunday with Kim.	"findEvents(queryAt(Sunday) and with_(""Kim""))"
eventWithDateAndTitle	p0	Show me appointments on July 25 by the name of Birthday.	"findEvents(queryAt(July /& 25) and called(""Birthday""))"
eventWithSubjectAndAttendee	p0	Search for meetings called Planning with Kelly tomorrow.	"findEvents((called(""Planning"") and with_(""Kelly"")) and queryAt(tomorrow))"
nextWeekEventWithAttendee	p0	Show me my meetings with David for next week	"findEvents(with_(""David"") and queryAt(next[Interval[Date]] and isWeek))"
nextOneOnOne	p0	When is my next 1:1?	theEvent(next[Event] and isOneOnOne).start
Binary query with attendee and timespan	p0	Am I meeting with Kelly this week?	"findEvents(with_(""Kelly"") and queryAt(`this`[Interval[Date]] and isWeek)).nonEmpty"
Binary query with attendee and timespan 2	p0	Am I meeting with Kim this week?	"findEvents(with_(""Kim"") and queryAt(`this`[Interval[Date]] and isWeek)).nonEmpty"
eventWithDateAndAttendee	p0	Do I have anything tomorrow with Kelly?	"findEvents(queryAt(tomorrow) and with_(""Kelly"")).nonEmpty"
eventWithDateAndAttendee	p0	Am I meeting with Kelly tomorrow afternoon?	"findEvents(with_(""Kelly"") and queryAt(afternoon on tomorrow)).nonEmpty"
salientMultipleEvents	p0	What is my next meeting?	theEvent(next[Event])
salientMultipleEvents	p0	What's after that?	findEvents(after(theEvent(that[Event])))
eventAfterDate	p0	What do I have after tomorrow?	findEvents(queryAt(after(tomorrow)))
restOfDayEventsCheck	p0	Do I have any events for the rest of the day?	findEvents(queryAt(restOfToday)).nonEmpty
restOfDayEvents	p0	What do I have for the rest of the day going on ?	findEvents(queryAt(restOfToday))
eventWithLocationAndYear	p0	What meetings meetings do I have in Boston this year?	"findEvents(locatedAt(locationNamed(""Boston"")) and queryAt(`this`[Interval[Date]] and isYear))"
eventAfterTomorrow	p0	What is happening 2 days after today?	findEvents(queryAt(today + 2.days))
eventCountWithAttendee	p0	How many events do I have with David next week?	"findEvents(with_(""David"") and queryAt(next[Interval[Date]] and isWeek)).size"
3rd event on Monday	p0	What is my 3rd event on Monday?	theEvent(nth[Event](3) and queryAt(Monday))
FilterAllDayEvent	p0	What events do I have?	findEvents0
FilterAllDayEvent	p0	What events do I have tomorrow?	findEvents(queryAt(tomorrow))
FilterAllDayEvent	p0	Do I have any Peer Reviews?	"findEvents(called(""Peer Reviews"")).nonEmpty"
oneOnOneWithAttendee	p0	Show my 1:1 with David?	"theEvent(isOneOnOne and with_(""David""))"
eventBeforeEndOfBusinessHoursOnDate	p0	What do I have before the end of business tomorrow?	findEvents(queryAt(before(businessHours.upper) on tomorrow))
eventBeforeStartOfBusinessHoursOnDate	p0	What do I have before the start of business tomorrow?	findEvents(queryAt(before(businessHours.lower) on tomorrow))
query nth DOW	p0	What do I have on my schedule on the 3rd Monday of February	findEvents(queryAt(nth[Date](3) /& Monday /& (monthOf(February))))
Query at time	p0	What do I have starting at 6 pm?	findEvents(startsAt(6.pm))
Query at time	p0	What do I have at 6 pm?	findEvents(queryAt(6.pm))
Query at time resolve tomorrow	p0	What do I have starting at 9 am?	findEvents(startsAt(9.am))
Query ending at date time	p0	Do I have anything scheduled ending at 5pm tomorrow?	findEvents(endsAt(5.pm on tomorrow)).nonEmpty
BooleanQueryByTime	p0	Do I have any meetings at 9 pm?	findEvents(queryAt(9.pm)).nonEmpty
Query with datetime variations	p0	Show me events tomorrow at 8am.	findEvents(queryAt(8.am on tomorrow))
Query with datetime variations	p0	What do I have at 2pm on Sunday?	findEvents(queryAt(2.pm on Sunday))
Query with datetime variations	p0	What meetings do I have at 10 am on September 5th?	findEvents(queryAt(10.am on (September /& 5)))
Query with datetime variations	p0	Find meetings at 3:30pm today.	findEvents(queryAt((3 :: 30).pm on today))
eventOnADateAndTime	p0	What do I have on Saturday at 10 am?	findEvents(queryAt(10.am on Saturday))
eventRightNowBoolean	p0	Do I have anything right now?	findEvents(queryAt(now)).nonEmpty
lastEventFromPast	p0	What was my last event?	theEvent(last[Event] and isPast)
Query at time interval	p0	What do I have between 2 pm and 4 pm?	findEvents(queryAt(timeInterval(2.pm, 4.pm)))
NoEventQueryAtDateTimeInterval	p0	What do I have between 2 pm and 4 pm today?	findEvents(queryAt(timeInterval(2.pm, 4.pm) on today))
Query at this DOW	p0	What do I have this friday??	findEvents(queryAt(`this`[Date] /& Friday))
queryBySubjectCritical	p0	Find meetings called coffee	"findEvents(called(""coffee""))"
queryBySubject0	p0	Find meetings called All-Hands.	"findEvents(called(""All-Hands""))"
queryBySubject0	p0	Search for appointments by the name of Lunch.	"findEvents(called(""Lunch""))"
queryBySubject0	p0	What is on my schedule with subject focused time?	"findEvents(called(""focused time""))"
queryBySubject0	p0	Find events for Surfing Happy Hour.	"findEvents(called(""Surfing Happy Hour""))"
queryBySubject0	p0	What do I have called Wine and Whine?	"findEvents(called(""Wine and Whine""))"
queryBySubject0	p0	Find events titled quarterly review.	"findEvents(called(""quarterly review""))"
queryBySubject0	p0	Search for appointments by the name of Breakfast.	"findEvents(called(""Breakfast""))"
queryBySubject0	p0	Show me meetings called Standup.	"findEvents(called(""Standup""))"
queryBySubject0	p0	Show me meetings called brunch talk	"findEvents(called(""brunch talk""))"
queryBySubject1	p0	What do I have called dinner?	"findEvents(called(""dinner""))"
queryBySubject1	p0	Show me events for Bachelor Viewing Party.	"findEvents(called(""Bachelor Viewing Party""))"
queryBySubject1	p0	What's on my schedule with subject reading time?	"findEvents(called(""reading time""))"
queryBySubject1	p0	What do I have with subject All Hands?	"findEvents(called(""All Hands""))"
queryBySubject2	p0	What's on my calendar called Squad meeting?	"findEvents(called(""Squad meeting""))"
queryBySubject2	p0	Show me Squad meetings on my schedule	"findEvents(called(""Squad meetings""))"
queryBySubject2	p0	Look for Dentist appointment in my calendar	"findEvents(called(""Dentist appointment""))"
queryBySubject2	p0	Search for dentist appointments	"findEvents(called(""dentist appointments""))"
queryBySubject2	p0	Look for earnings call	"findEvents(called(""earnings call""))"
queryBySubject2	p0	Looks for events named earnings calls	"findEvents(called(""earnings calls""))"
queryBySubject2	p0	What do I have on my schedule called team chat?	"findEvents(called(""team chat""))"
queryBySubject2	p0	What do I have on my calendar named team chats?	"findEvents(called(""team chats""))"
queryBySubject2	p0	What's on my schedule called Business talk?	"findEvents(called(""Business talk""))"
queryBySubject2	p0	What's on my calendar named Business talks?	"findEvents(called(""Business talks""))"
queryBySubject2	p0	Search for Book Review	"findEvents(called(""Book Review""))"
queryBySubject2	p0	Show me my events called Quick Sync	"findEvents(called(""Quick Sync""))"
queryBySubject2	p0	Show me my meetings named Quick Syncs	"findEvents(called(""Quick Syncs""))"
queryBySubjectRecurrentEvents	p0	What do I have called stand up?	"findEvents(called(""stand up""))"
createEventFromCalendar all day	p1	Create an all day event	createEvent(isAllDay)
clientContextNonUISalientEvent	p1	What's my second event tomorrow?	theEvent(nth[Event](2) and queryAt(tomorrow))
First turn refer using client context get duration	p1	What is the duration of this meeting?	theEvent(`this`[Event]).duration
First turn refer using client context get date	p1	When is this meeting?	theEvent(`this`[Event]).start
First turn refer using client context get existing status - no conflict	p1	Am I free then?	availabilityIncludingMe(createAt(that[Interval[Instant]])).nonEmpty
First turn refer using client context get status - person no conflict	p1	Is Kelly free then?	"availabilityExcludingMe(with_(""Kelly"") and createAt(that[Interval[Instant]])).nonEmpty"
First turn refer using client context get subject	p1	What is the name of this meeting?	theEvent(`this`[Event]).subject.get
emailSubject	p1	Make an event and call it the same thing as the email subject	createEvent(called(theEmail0.title))
emailAttendees	p1	I would like to create an event with everyone who is on that email	createEvent(with_(theEmail(that[Email]).allRecipients))
callingPersonTeamsOneshot	p1	Call Bryan	"call(callWith(""Bryan""))"
callingNumberOneshot	p1	Call 55534567	"call(callWithNumber(""55534567""))"
callingPersonMobileOneshot	p1	Call Crystal on his mobile	"call(callWithType(""Crystal"", ContactType.Mobile))"
callingPersonWorkOneshot	p1	Call Damon on his work	"call(callWithType(""Damon"", ContactType.Business))"
callOnTMPersonMultiTurn	p1	Make a call	call0
calling2PeopleOneshot	p1	Call Bryan and Kelly	"call(callWith(""Bryan"") and callWith(""Kelly""))"
calling3PeopleOneshot	p1	Call Bryan, Kelly and David.	"call(callWith(""Bryan"") and callWith(""Kelly"") and callWith(""David""))"
callingNumbersOneshot	p1	Call 55534567 and 55534566	"call(callWithNumber(""55534567"") and callWithNumber(""55534566""))"
callMyManagerOneshot	p1	Call my manager	call(callWith(me.manager))
callManagerOneshot	p1	Call Julia's manager	"call(callWith(thePerson(""Julia"").manager))"
videoCallPersonOneshot	p1	Video call with Bryan	"call(modeIs(CallMode.Video) and callWith(""Bryan""))"
videoCallPeopleOneshot	p1	Video call with Bryan and Kelly	"call(modeIs(CallMode.Video) and callWith(""Bryan"") and callWith(""Kelly""))"
videoCallMyManagerOneshot	p1	video call to my manager	call(modeIs(CallMode.Video) and callWith(me.manager))
videoCallNumberOneshot	p1	Video call to 55534567	"call(modeIs(CallMode.Video) and callWithNumber(""55534567""))"
callMyTeamOneshot	p1	Call my team	call(callWith(me.communicationTeam))
callPersonTeamOneshot	p1	Call Bryan's team	"call(callWith(thePerson(""Bryan"").communicationTeam))"
videoCallMyTeamOneshot	p1	Video call to my team	call(modeIs(CallMode.Video) and callWith(me.communicationTeam))
callPersonOnTeamsOneshot	p1	Call Bryan on teams	"call(callWith(""Bryan"") and channelIs(CallChannel.Teams))"
callingPeopleGroupCallFeatureDisabled	p1	Call Bryan and Jen	"call(callWith(""Bryan"") and callWith(""Jen""))"
callingPeopleMobileOneshot	p1	Call Crystal and Jordan on their mobile	"call(callWithType(""Crystal"", ContactType.Mobile) and callWithType(""Jordan"", ContactType.Mobile))"
callingPeopleWorkOneshot	p1	Call Leah, David and Josh on their work	"call(callWithType(""Leah"", ContactType.Business) and callWithType(""David"", ContactType.Business) and callWithType(""Josh"", ContactType.Business))"
callHerSalientHistoryOneshot	p1	Who is Kelly?	"thePerson(""Kelly"")"
callHerSalientHistoryOneshot	p1	Call her	call(callWith(her))
callHerOnTeamsSalientHistoryOneshotTM	p1	Call her on teams	call(callWith(her) and channelIs(CallChannel.Teams))
callHimSalientHistoryOneshot	p1	Who is Brad?	"thePerson(""Brad"")"
callHimSalientHistoryOneshot	p1	Call him	call(callWith(him))
callHimOnTeamsSalientHistoryOneshotTM	p1	Call him on teams	call(callWith(him) and channelIs(CallChannel.Teams))
callThemSalientHistoryOneshot	p1	Call them	call(callWith(them))
callingPersonOnPhoneOneshot	p1	Call Bryan on phone	"call(callWith(""Bryan"") and channelIs(CallChannel.Phone))"
callingPersonMobileNotFound	p1	Call Bryan on his mobile number	"call(callWithType(""Bryan"", ContactType.Mobile))"
callingPersonWorkNotFound	p1	Call Bryan on his work number	"call(callWithType(""Bryan"", ContactType.Business))"
callingPersonTypeNotSupportedError	p1	Call Karl	"call(callWith(""Karl""))"
callingPersonNotFound	p1	Call Rohan	"call(callWith(""Rohan""))"
callingPeopleNotFound	p1	Call Bryan and Rohan	"call(callWith(""Bryan"") and callWith(""Rohan""))"
callTwoPeopleOnTeams	p1	Call Bryan and Megan on teams	"call(callWith(""Bryan"") and callWith(""Megan"") and channelIs(CallChannel.Teams))"
joinMeetingBySubject	p1	Join the product stand up	"joinEvent(theEvent(called(""product stand up"")))"
joinMeetingBySubjectDisambigByIndex	p1	Join the team stand up	"joinEvent(theEvent(called(""team stand up"")))"
joinMeetingBySubjectNotFound	p1	Join the teams stand up meeting	"joinEvent(theEvent(called(""teams stand up"")))"
joinMeetingByTime	p1	Join my 3:30 pm	joinEvent(theEvent(queryAt((3 :: 30).pm)))
joinMeetingByTimeNotFound	p1	Join my 4:30 pm	joinEvent(theEvent(queryAt((4 :: 30).pm)))
joinMeetingByPerson	p1	Join my meeting with David	"joinEvent(theEvent(with_(""David"")))"
joinMeetingByPersonNotFound	p1	Join my meeting with Damon	"joinEvent(theEvent(with_(""Damon"")))"
joinNextMeeting	p1	Join my next event	joinEvent(theEvent(next[Event]))
joinNextMeeting10MinsOut	p1	Join the next event	joinEvent(theEvent(next[Event]))
joinMeeting	p1	Join my event	joinEvent(theEvent0)
joinSalientMeeting	p1	Join this	joinEvent(theEvent(`this`[Event]))
JoinDoNotConfirm	p1	Join the product stand up meeting	"joinEvent(theEvent(called(""product stand up meeting"")))"
basicArchiveMail	p1	Archive this email.	archiveEmail(messageIdIs(theEmail(`this`[Email]).id))
basicArchiveMail-2	p1	Archive that email.	archiveEmail(messageIdIs(theEmail(that[Email]).id))
basicArchiveMail-3	p1	Archive the email.	archiveEmail(messageIdIs(theEmail0.id))
basicReadMail	p1	Mark this email read.	readEmail(messageIdIs(theEmail(`this`[Email]).id))
basicReadMail-2	p1	Mark that email read.	readEmail(messageIdIs(theEmail(that[Email]).id))
basicUnreadMail	p1	Mark this email unread.	unreadEmail(messageIdIs(theEmail(`this`[Email]).id))
basicUnreadMail-2	p1	Mark that email unread.	unreadEmail(messageIdIs(theEmail(that[Email]).id))
basicFlagMail	p1	Flag this email for follow up.	flagEmail(messageIdIs(theEmail(`this`[Email]).id))
basicFlagMail-2	p1	Flag that email for follow up.	flagEmail(messageIdIs(theEmail(that[Email]).id))
basicUnflagMail	p1	Unflag this email.	unflagEmail(messageIdIs(theEmail(`this`[Email]).id))
basicUnflagMail-2	p1	Unflag that email.	unflagEmail(messageIdIs(theEmail(that[Email]).id))
forwardMailToEventAttendees	p1	Forward this email to the attendees in the event Standup	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(theEvent(called(""Standup"")).attendees.all))"
forwardMailToEventAttendeesAddRecipient	p1	Forward this email to the attendees in the event Standup and also to Bryan	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(theEvent(called(""Standup"")).attendees.all) and messageWithTo(""Bryan""))"
forwardMailToEventAttendeesAddRecipient-2	p1	Forward this email to the attendees from tomorrow's Standup and to Bryan	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(theEvent(queryAt(tomorrow) and called(""Standup"")).attendees.all) and messageWithTo(""Bryan""))"
basicDeleteMail	p1	Delete this email	deleteEmail(messageIdIs(theEmail(`this`[Email]).id))
basicDeleteMail-2	p1	Delete the email	deleteEmail(messageIdIs(theEmail0.id))
basicDeleteMail-3	p1	Delete that email	deleteEmail(messageIdIs(theEmail(that[Email]).id))
basicReplyMail	p1	Reply to this email.	replyEmail(messageIdIs(theEmail(`this`[Email]).id))
basicReplyMailWithMessage	p1	Reply to this email and say I am not so sure about this, can we chat soon?	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageBodyIs(""I am not so sure about this, can we chat soon?""))"
replyMailWithOneRecipient	p1	Reply to this email and add Jen	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Jen""))"
replyMailToSender	p1	Reply to Bryan on this email	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Bryan""))"
replyMailToPersonChangeSubject	p1	Reply to Julia and change the subject to Party planning.	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Julia"") and messageTitleIs(""Party planning""))"
replyMailToPersonWithBodyChangeSubject	p1	Reply to Julia saying Can't wait for it and change the subject to Party planning.	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Julia"") and messageBodyIs(""Can't wait for it"") and messageTitleIs(""Party planning""))"
basicReplyAllMail	p1	Reply to everybody on this mail.	replyAllEmail(messageIdIs(theEmail(`this`[Email]).id))
basicReplyAllWithMessage	p1	Reply to everybody on this email and say I am not so sure about this, can we chat soon?	"replyAllEmail(messageIdIs(theEmail(`this`[Email]).id) and messageBodyIs(""I am not so sure about this, can we chat soon?""))"
replyAllAddingRecipient	p1	Reply to everyone on this email adding Izabela	"replyAllEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Izabela""))"
replyAllAddingRecipientMessage	p1	Reply to everyone on this email including Izabela and say Great to meet everyone	"replyAllEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Izabela"") and messageBodyIs(""Great to meet everyone""))"
replyAllAddingManagerMessage	p1	Reply to everyone on this email adding my manager and say sounds good	"replyAllEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(me.manager) and messageBodyIs(""sounds good""))"
basicForwardMail	p1	Forward this email.	forwardEmail(messageIdIs(theEmail(`this`[Email]).id))
basicForwardMail-2	p1	Forward that email.	forwardEmail(messageIdIs(theEmail(that[Email]).id))
basicForwardMail-3	p1	Forward the email.	forwardEmail(messageIdIs(theEmail0.id))
forwardMailWithRecipient	p1	Forward this email to Jen	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Jen""))"
forwardMailWithRecipientMessage	p1	Forward this email to Bryan and say SM huddle	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Bryan"") and messageBodyIs(""SM huddle""))"
forwardMailWithRecipients	p1	Forward this email to Jen and Bryan	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Jen"") and messageWithTo(""Bryan""))"
forwardMailWithNewTitle	p1	Forward this email and call it Sharing for visibility	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageTitleIs(""Sharing for visibility""))"
forwardMailToRecipientWithNewTitle	p1	Forward this email to Bryan and call it Sharing for visibility	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Bryan"") and messageTitleIs(""Sharing for visibility""))"
createLunchTimeAtLocation2	p1	Make some time for me to go to Aceituna for lunch	"createEvent(locatedAt(locationNamed(""Aceituna"")) and createAt(lunchTime))"
createOneonOneWithPersonEyesOff	p1	Schedule a 1:1 with Bryan	"createEvent(isOneOnOne and with_(""Bryan""))"
createSalientPersonEyesOff	p1	What is my next 1:1 with Leah?	"theEvent((next[Event] and isOneOnOne) and with_(""Leah""))"
createSalientPersonEyesOff	p1	schedule a meeting with her	createEvent(with_(her.nameAndEmail.name.get))
salientPeopleEyesOff	p1	Who is coming to Standup meeting?	"theEvent(called(""Standup meeting"")).attendees.withResponse(ResponseStatusType.accepted)"
salientPeopleEyesOff	p1	I need to make an event with those people.	createEvent(with_(them))
updateAdd2People eyesOff	p1	What do I have with Damon?	"findEvents(with_(""Damon""))"
moveSalientByTimeEyesOff	p1	Do I have any meetings tomorrow at 10 am?	findEvents(queryAt(10.am on tomorrow)).nonEmpty
updateDateEyesOff	p1	Do I have any meetings with Brad today?	"findEvents(with_(""Brad"") and queryAt(today)).nonEmpty"
update start and end time eyesOff	p1	When is my next 1:1 with Leah?	"theEvent((next[Event] and isOneOnOne) and with_(""Leah"")).start"
chatOnTMSalientHistoryEventOneShotEyesOff	p1	When am I meeting Kelly next	"theEvent(next[Event] and with_(""Kelly"")).start"
basicReplyMailWithMessageEyesOff	p1	Reply to this email and say I am not so sure about this	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageBodyIs(""I am not so sure about this""))"
basicReplyMailWithPersonMessage	p1	Reply to Jen and say I am not so sure about this	"replyEmail(messageIdIs(theEmail(`this`[Email]).id)and messageWithTo(""Jen"") and messageBodyIs(""I am not so sure about this""))"
replyMailWithTwoRecipientsEyesOff	p1	Reply to this email and add Jen and Jesse	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Jen"") and messageWithTo(""Jesse""))"
replyMailAddingManager	p1	Reply to this email and add my manager	replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(me.manager))
forwardMailToManager	p1	Forward this email to my manager	forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(me.manager))
createWithAttendee3EyesOff	p1	Make an event with Bryan, Abby, Jennifer and Jesse	"createEvent(((with_(""Bryan"") and with_(""Abby"")) and with_(""Jennifer"")) and with_(""Jesse""))"
createWithOptionalAttendeeEyesOff	p1	Create an event with Bryan as an optional attendee.	"createEvent(withAs(""Bryan"", AttendeeType.optional))"
Query - set the attendee	p1	what are my meetings?	findEvents0
Query - change the attendee	p1	what are my meetings with David?	"findEvents(with_(""David""))"
Create with explicit start and duration in eyesoff	p1	Create a 45 minutes meeting that starts tomorrow at 3 pm	createEvent(startsAt(3.pm on tomorrow) and lastsFor(45.minutes))
Create starting at date time eyes off	p1	Schedule a meeting that starts at 3 pm tomorrow	createEvent(startsAt(3.pm on tomorrow))
Create after another event in eyes off	p1	Schedule a walk after my lunch meeting	"createEvent(after(theEvent(called(""lunch""))) and called(""walk""))"
Create starting at time in eyes off	p1	Schedule a meeting starting at 9 am	createEvent(startsAt(9.am))
Create before another event in eyes off	p1	Schedule a walk before Game Night	"createEvent(before(theEvent(called(""Game Night""))) and called(""walk""))"
salientPeople	p1	Who has accepted the Standup meeting?	"theEvent(called(""Standup meeting"")).attendees.withResponse(ResponseStatusType.accepted)"
CreateInConferenceRoom	p1	Add a meeting in conference room 354.	"createEvent(withResource(theConferenceRoom(""354"")))"
Create after another event	p1	Schedule a walk after my coffee meeting	"createEvent(called(""walk"") and after(theEvent(called(""coffee meeting""))))"
Create with time and time zone	p1	Schedule a meeting at 9 am UTC	"createEvent(createAt(9.am inZone TimeZone(""UTC"")))"
Create right before another event	p1	Schedule a 40 minute walk right before Pancake Party	"createEvent(lastsFor(40.minutes) and rightBefore(theEvent(called(""Pancake Party""))) and called(""walk""))"
createEvent - brunchTime	p1	Schedule a meeting at brunch	createEvent(createAt(brunchTime))
createEvent - dinnerTime	p1	Schedule a meeting at dinner time	createEvent(createAt(dinnerTime))
createEvent - breakfastTime	p1	Schedule a meeting at breakfast time	createEvent(createAt(breakfastTime))
createEvent - lunchTime	p1	Schedule a meeting at lunch time	createEvent(createAt(lunchTime))
createBlockingTimeInterval	p1	Block off this afternoon.	createEvent(blocking(afternoon on `this`[Date]))
createEvent - late morning	p1	Schedule a meeting late in the morning	createEvent(createAt(late(morning)))
createEvent - ends late afternoon	p1	Schedule a meeting that ends late in the afternoon	createEvent(endsAt(late(afternoon)))
createEvent - military time	p1	Schedule the planning meeting at 1600 hours today	"createEvent(called(""planning meeting"") and createAt(hour24(16) :: 0 on today))"
createEventBeforeTime	p1	Schedule a meeting before 2 pm.	createEvent(createAt(before(2.pm)))
createEventAfterTime	p1	Schedule a meeting after 10 am.	createEvent(createAt(after(10.am)))
createEventBeforeTimeInterval	p1	Schedule a meeting before afternoon.	createEvent(createAt(before(afternoon)))
createEventAfterTimeInterval	p1	Schedule a meeting after 2 pm to 3 pm	createEvent(createAt(after(timeInterval(2.pm, 3.pm))))
