id	category	utterance	plan
eventWithDateAndTitle	p0	Show me appointments on July 25 by the name of Birthday.	"findEvents(queryAt(July /& 25) and called(""Birthday""))"
Create nth DOW	p0	Create a meeting on the third Monday of February	createEvent(createAt(nth[Date](3) /& Monday /& (monthOf(February))))
lastEventXDaysFromDOW		Show me my last meeting 2 days before next Sunday	theEvent(last[Event] and queryAt(theDate(next[Date] /& Sunday) - 2.days))
eventFromEmail1	p0	Schedule a meeting with them.	createEvent(with_(them))
PersonTeam1	p0	What team is Jesse on?	"thePerson(""Jesse"").team"
findEmail- From Person with Attachments	p0	Find emails from Lisa with attachments	"findEmails(messageWithSender(""Lisa"") and messageHasAttachments(true))"
eventResponse2	p2	Decline the invitation to the meeting today.	respond(theEvent(queryAt(today)), withResponse(ResponseStatusType.declined))
replyAllAddingManagerMessage	p1	Reply to everyone on this email adding my manager and say sounds good	"replyAllEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(me.manager) and messageBodyIs(""sounds good""))"
	p0	Make an event yesterday at 11 am called retrospective	"createEvent(createAt(11.am on yesterday) and called(""retrospective""))"
queryBySubject0	p0	Find events for Surfing Happy Hour.	"findEvents(called(""Surfing Happy Hour""))"
replyAllAddingRecipient	p1	Reply to everyone on this email adding Izabela	"replyAllEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Izabela""))"
findEmails-0-eyesoff	p0	Find my emails.	findEmails0
multipleEventsIsAllDay		Is Team meeting an all day event?	"theEvent(called(""Team meeting"")).isAllDay"
modifyExample		"rename the title of this morning's meeting with ""Q&A"" prepended with ""[optional] """	"modifyEvent(theEvent(queryAt(morning on `this`[Date])), called(""[optional] "" + ""Q&A""))"
Create with holiday next year at time	p0	Create a meeting on Halloween of next year at 8 pm.	createEvent(createAt(8.pm on (Holiday.Halloween /& (next and isYear))))
Query - change the time	p1	what do I have at 3pm?	findEvents(queryAt(3.pm))
goToSearchFirstTurn	p0	Go to search.	goToSearch()
Query with datetime variations	p0	Show me events tomorrow at 8am.	findEvents(queryAt(8.am on tomorrow))
createWithDateTimeWithAttendee0EyesOff	p0	Make a meeting on January 21 at 1:30 pm with Abby	"createEvent(createAt((1 :: 30).pm on (January /& 21)) and with_(""Abby""))"
	p2	Forward my coffee event to Jesse	"forwardEvent(theEvent(called(""coffee"")), sendTo(""Jesse""))"
emailSubject	p1	Make an event and call it the same thing as the email subject	createEvent(called(theEmail0.title))
	p2	Who has not responded to Standup?	"theEvent(called(""Standup"")).attendees.withResponse(ResponseStatusType.notResponded)"
findFile-4	p0	Find my powerpoint	"findFile(withType(""powerpoint""))"
Query at date time	p0	What do I have at 4 pm tomorrow?	findEvents(queryAt(4.pm on tomorrow))
eventWithTwoAttendeesAndEyesOff	p0	What is on my calendar that includes Jesse and David?	"findEvents(with_(""Jesse"") and with_(""David""))"
	p0	Create a meeting with David at 5pm today 	"createEvent(with_(""David"") and createAt(5.pm on today))"
queryMultiEventsAfterTimeTomorrow	p0	What's on my schedule after 6 pm tomorrow.	findEvents(queryAt(after(6.pm) on tomorrow))
isPersonOrganizerMultipleEvents		Is Brad the organizer of Standup?	"theEvent(called(""Standup"")).organizerIs(thePerson(""Brad""))"
Create - change two attendees	p0	Create a meeting with David and Jesse called coffee	"createEvent((with_(""David"") and with_(""Jesse"")) and called(""coffee""))"
	p0	Create a meeting on December 25 2017 at 5 pm named Christmas party	"createEvent(createAt(5.pm on ((December /& 25) /& yearIs(2017))) and called(""Christmas party""))"
	p2	Is Megan attending the Standup?	"theEvent(called(""Standup"")).attendees.isAttending(thePerson(""Megan""))"
multiEventStart		What time does my first event on Monday begin?	theEvent(nth[Event](1) and queryAt(Monday)).start
joinMeetingByPersonNotFound	p1	Join my meeting with Damon	"joinEvent(theEvent(with_(""Damon"")))"
secondEventTomorrow	p0	What is my second event tomorrow?	theEvent(nth[Event](2) and queryAt(tomorrow))
nthEventTimeOfDay	p2	What is my first meeting tomorrow afternoon?	theEvent(nth[Event](1) and queryAt(afternoon on tomorrow))
	p0	Book a meeting with Kim today.	"createEvent(createAt(today) and with_(""Kim""))"
Create starts at MM-DD	p0	Create a meeting starting at 5/30	createEvent(startsAt(month(5) /& 30))
eventResponse1	p2	Accept my invite to Planning.	"respond(theEvent(called(""Planning"")), withResponse(ResponseStatusType.accepted))"
nextEventsWithAttendee		What is the next thing I have with Brad?	"theEvent(next[Event] and with_(""Brad""))"
whereMultipleNextEvents		Where is my next meeting?	theEvent(next[Event]).location
d21annotator2_1	decomp	Check if the size of the list s1 is 5 or less	s1.size <= 5
checkAvailability9	p3	Do you know if John is available during that time?	"availabilityExcludingMe(with_(""John"") and createAt(that[Interval[Instant]])).nonEmpty"
basicReplyMailWithPersonMessage	p1	Reply to Jen and say I am not so sure about this	"replyEmail(messageIdIs(theEmail(`this`[Email]).id)and messageWithTo(""Jen"") and messageBodyIs(""I am not so sure about this""))"
updateEventResponse	p3	What's my next meeting?	theEvent(next[Event])
findEmails-9	p1	Find my low priority emails from last week	findEmails(messageImportanceIs(Importance.Low) and messageSentAt(last[Interval[Date]] and isWeek))
personEmailAddressFallbackTM	p0	What is Damon's email address?	"thePerson(""Damon"").emailAddress"
attendeesIsInvitedTrue	p2	Is Brad invited to Team meeting?	"theEvent(called(""Team meeting"")).attendees.isInvited(thePerson(""Brad""))"
Create - change location	p0	Create a meeting at 5pm today	createEvent(createAt(5.pm on today))
Query on that week eyes off	p0	What do I have that week?	findEvents(queryAt(that[Interval[Date]] and isWeek))
eventResponse4	p2	Accept the invite to Product Planning	"respond(theEvent(called(""Product Planning"")), withResponse(ResponseStatusType.accepted))"
findEmails-1	p1	Find my shiproom emails	"findEmails(messageTitleIs(""shiproom""))"
queryBySubject1	p0	What do I have called dinner?	"findEvents(called(""dinner""))"
Query at date and time interval	p0	What do I have tomorrow between 9 am and 3 pm?	findEvents(queryAt(timeInterval(9.am, 3.pm) on tomorrow))
d74annotator1_0	decomp	Find all events on Monday	findEvents(queryAt(Monday))
queryBySubject0	p0	Show me meetings called brunch talk	"findEvents(called(""brunch talk""))"
First turn refer using client context get duration	p1	What is the duration of this meeting?	theEvent(`this`[Event]).duration
Create - change date	p0	Create a meeting on May 22nd	createEvent(createAt(May /& 22))
d3annotator2_0	decomp	Find all events	findEvents0
joinMeetingByPerson	p1	Join my meeting with David	"joinEvent(theEvent(with_(""David"")))"
1 Create with date time Eyes-off	p0	Schedule a meeting today at 2 pm	createEvent(createAt(2.pm on today))
2 Create with date time in eyes off	p0	Create a meeting tomorrow at 10 am	createEvent(createAt(10.am on tomorrow))
update start and end time eyesOff	p1	When is my next 1:1 with Leah?	"theEvent((next[Event] and isOneOnOne) and with_(""Leah"")).start"
eventwithSubjectAndDate	p0	Search for coffee meetings tomorrow.	"findEvents(called(""coffee meetings"") and queryAt(tomorrow))"
joinMeetingBySubjectNotFound	p1	Join the teams stand up meeting	"joinEvent(theEvent(called(""teams stand up"")))"
forwardUnspecified	p2	Forward my bagel event	"forwardEvent(theEvent(called(""bagel"")), unspecified)"
basicReadMail	p1	Mark this email read.	readEmail(messageIdIs(theEmail(`this`[Email]).id))
Create - change start timeRelative later	p0	Hey Cortana, set up time with David.	"createEvent(with_(""David""))"
Query at this DOW	p0	What do I have this friday??	findEvents(queryAt(`this`[Date] /& Friday))
EventLocationByNext	p2	Where's my next meeting?	theEvent(next[Event]).location
Create meeting during mealtime	p3	Create a meeting during breakfast tomorrow.	createEvent(createAt(breakfastTimeInterval on tomorrow))
eventResponse8	p2	Decline it	respond(theEvent(that[Event]), withResponse(ResponseStatusType.declined))
queryNoEventBeforeTime	p0	What's on my schedule before 9 pm.	findEvents(queryAt(before(9.pm)))
forwardMailToEventAttendees	p1	Forward this email to the attendees in the event Standup	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(theEvent(called(""Standup"")).attendees.all))"
eventWithLocationAndYear	p0	What meetings meetings do I have in Boston this year?	"findEvents(locatedAt(locationNamed(""Boston"")) and queryAt(`this`[Interval[Date]] and isYear))"
createApptAtLocation	p0	Schedule an appointment at the Ruby slipper	"createEvent(locatedAt(locationNamed(""Ruby slipper"")))"
composeEmailForAttendeesWithMessage	p0	Okay, email everyone on that event and let them know I have had to change the starting time to 4:30 pm	"createEmail(messageWithTo(theEvent(that[Event]).attendees.all) and messageBodyIs(""I have had to change the starting time to 4:30 pm""))"
callTwoPeopleOnTeams	p1	Call Bryan and Megan on teams	"call(callWith(""Bryan"") and callWith(""Megan"") and channelIs(CallChannel.Teams))"
joinMeeting	p1	Join my event	joinEvent(theEvent0)
createEventBeforeQueriedEvent	p0	An hour before Planning add tea break on my calendar.	"createEvent(createAt(theEvent(called(""Planning"")).start - 1.hours) and called(""tea break""))"
createSubjectDateRange	p3	Put holidays in my calendar from 15th June until 23rd June	"createEvent((called(""holidays"")) and blocking(dateInterval((15 /& June), (23 /& June))))"
updateEventLateInWeek	p1	When is my next catch up with David?	"theEvent((next[Event] and called(""catch up"")) and with_(""David"")).start"
findEmail-2	p0	Find emails from Lisa	"findEmails(messageWithSender(""Lisa""))"
createMultiDay	p0	Create an event called vacation from August 9 to August 11	"createEvent((called(""vacation"")) and blocking(dateInterval((August /& 9), (August /& 11))))"
Create - change DOW, time, and duration	p0	Create a sales meeting tomorrow in San Francisco at 2 pm for 30 mins	"createEvent((called(""sales meeting"") and createAt(2.pm on tomorrow) and locatedAt(locationNamed(""San Francisco"")) and lastsFor(30.minutes)))"
sayPersonCompanyName	p0	What company does Damon work for?	"thePerson(""Damon"").companyName"
	p0	Schedule a meeting with Julia today at 2 pm called let's meet.	"createEvent((with_(""Julia"") and createAt(2.pm on today)) and called(""let's meet""))"
eventWithMultipleAttendeesEyesOff	p0	Find events with Kelly, Damon, and Abby.	"findEvents((with_(""Kelly"") and with_(""Damon"")) and with_(""Abby""))"
